"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"193","Cagliari Calcio ","Cagliari Calcio","49","49","24,9","19","122,75 Mill. €","2,51 Mill. €",2018
"194","Genoa CFC ","Genoa CFC","69","69","22,8","34","107,48 Mill. €","1,56 Mill. €",2018
"195","Bologna FC 1909 ","Bologna FC 1909","48","48","24,0","27","100,93 Mill. €","2,10 Mill. €",2018
"196","SPAL ","SPAL","51","51","24,3","19","73,38 Mill. €","1,44 Mill. €",2018
"197","Parma Calcio 1913  ","Parma Calcio 1913","70","70","24,6","19","64,75 Mill. €","925 Th. €",2018
"198","Chievo Verona ","Chievo Verona","68","68","23,7","32","61,43 Mill. €","903 Th. €",2018
"199","Frosinone Calcio  ","Frosinone Calcio","44","44","24,8","10","60,13 Mill. €","1,37 Mill. €",2018
"200","FC Empoli  ","FC Empoli","59","59","23,1","24","58,30 Mill. €","988 Th. €",2018
"201","Juventus FC ","Juventus FC","27","27","28,7","19","864,00 Mill. €","32,00 Mill. €",2019
"202","SSC Napoli ","SSC Napoli","29","29","26,7","21","660,00 Mill. €","22,76 Mill. €",2019
"203","Inter Milan ","Inter Milan","28","28","26,8","15","600,90 Mill. €","21,46 Mill. €",2019
"204","AC Milan ","AC Milan","26","26","25,4","17","505,00 Mill. €","19,42 Mill. €",2019
"205","AS Roma ","AS Roma","28","28","26,5","18","402,15 Mill. €","14,36 Mill. €",2019
"206","SS Lazio ","SS Lazio","34","34","26,7","27","300,55 Mill. €","8,84 Mill. €",2019
"207","Atalanta BC ","Atalanta BC","25","25","26,7","18","252,00 Mill. €","10,08 Mill. €",2019
"208","ACF Fiorentina ","ACF Fiorentina","29","29","25,1","19","244,10 Mill. €","8,42 Mill. €",2019
"209","Torino FC ","Torino FC","25","25","26,1","13","196,33 Mill. €","7,85 Mill. €",2019
"210","Cagliari Calcio ","Cagliari Calcio","31","31","27,2","16","160,88 Mill. €","5,19 Mill. €",2019
"211","US Sassuolo ","US Sassuolo","28","28","25,8","13","154,43 Mill. €","5,52 Mill. €",2019
"212","Udinese Calcio ","Udinese Calcio","30","30","25,0","26","153,05 Mill. €","5,10 Mill. €",2019
"213","UC Sampdoria ","UC Sampdoria","26","26","25,7","13","148,98 Mill. €","5,73 Mill. €",2019
"214","Genoa CFC ","Genoa CFC","31","31","26,0","18","140,00 Mill. €","4,52 Mill. €",2019
"215","Bologna FC 1909 ","Bologna FC 1909","29","29","26,3","18","100,65 Mill. €","3,47 Mill. €",2019
"216","Brescia Calcio  ","Brescia Calcio","26","26","25,6","8","89,18 Mill. €","3,43 Mill. €",2019
"217","Parma Calcio 1913 ","Parma Calcio 1913","30","30","27,7","12","78,38 Mill. €","2,61 Mill. €",2019
"218","SPAL ","SPAL","24","24","27,2","11","71,50 Mill. €","2,98 Mill. €",2019
"219","Hellas Verona  ","Hellas Verona","34","34","25,9","15","44,23 Mill. €","1,30 Mill. €",2019
"220","US Lecce  ","US Lecce","33","33","27,0","11","35,23 Mill. €","1,07 Mill. €",2019
