"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"196","GFC Ajaccio ","GFC Ajaccio","31","31","23,8","9","9,30 Mill. €","300 Th. €",2018
"197","US Orléans ","US Orléans","31","31","24,3","9","8,15 Mill. €","263 Th. €",2018
"198","Grenoble Foot 38  ","Grenoble Foot 38","33","33","26,3","12","7,05 Mill. €","214 Th. €",2018
"199","FC Chamois Niort ","FC Chamois Niort","34","34","22,0","12","6,70 Mill. €","197 Th. €",2018
"200","AS Béziers  ","AS Béziers","36","36","24,9","12","4,65 Mill. €","129 Th. €",2018
"201","EA Guingamp  ","EA Guingamp","30","30","24,5","5","32,45 Mill. €","1,08 Mill. €",2019
"202","FC Lorient ","FC Lorient","27","27","25,9","5","31,35 Mill. €","1,16 Mill. €",2019
"203","RC Lens ","RC Lens","31","31","26,2","12","24,65 Mill. €","795 Th. €",2019
"204","SM Caen  ","SM Caen","26","26","24,9","10","21,55 Mill. €","829 Th. €",2019
"205","ES Troyes AC ","ES Troyes AC","27","27","24,5","12","20,25 Mill. €","750 Th. €",2019
"206","AJ Auxerre ","AJ Auxerre","28","28","25,5","9","19,05 Mill. €","680 Th. €",2019
"207","AC Le Havre ","AC Le Havre","25","25","24,4","12","14,15 Mill. €","566 Th. €",2019
"208","LB Châteauroux ","LB Châteauroux","29","29","24,1","10","13,40 Mill. €","462 Th. €",2019
"209","AS Nancy-Lorraine ","AS Nancy-Lorraine","30","30","25,5","12","13,35 Mill. €","445 Th. €",2019
"210","Valenciennes FC  ","Valenciennes FC ","26","26","25,0","8","13,35 Mill. €","513 Th. €",2019
"211","FC Chamois Niort ","FC Chamois Niort","28","28","23,5","9","12,65 Mill. €","452 Th. €",2019
"212","Grenoble Foot 38 ","Grenoble Foot 38","26","26","26,8","16","11,70 Mill. €","450 Th. €",2019
"213","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","27","27","24,6","11","10,95 Mill. €","406 Th. €",2019
"214","FC Sochaux-Montbéliard ","FC Sochaux-Montbéliard","29","29","23,7","9","10,55 Mill. €","364 Th. €",2019
"215","US Orléans ","US Orléans","23","23","25,5","5","9,50 Mill. €","413 Th. €",2019
"216","Paris FC ","Paris FC","24","24","26,7","13","9,30 Mill. €","388 Th. €",2019
"217","AC Ajaccio ","AC Ajaccio","26","26","25,6","11","8,95 Mill. €","344 Th. €",2019
"218","FC Le Mans  ","FC Le Mans","23","23","26,4","6","7,50 Mill. €","326 Th. €",2019
"219","FC Chambly  ","FC Chambly","30","30","28,4","5","6,55 Mill. €","218 Th. €",2019
"220","Rodez AF  ","Rodez AF","27","27","25,5","3","5,35 Mill. €","198 Th. €",2019
