"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"36","SC Braga ","SC Braga","34","34","25,7","22","68,10 Mill. €","2,00 Mill. €",2011
"37","Vitória Guimaraes SC ","Vitória Guimaraes SC","31","31","25,6","19","30,05 Mill. €","969 Th. €",2011
"38","CD Nacional ","CD Nacional","37","37","24,0","26","25,65 Mill. €","693 Th. €",2011
"39","Vitória Setúbal FC ","Vitória Setúbal FC","33","33","26,2","13","24,35 Mill. €","738 Th. €",2011
"40","Académica Coimbra ","Académica Coimbra","33","33","24,4","17","19,25 Mill. €","583 Th. €",2011
"41","CS Marítimo ","CS Marítimo","30","30","24,8","23","19,20 Mill. €","640 Th. €",2011
"42","Rio Ave FC ","Rio Ave FC","31","31","26,2","14","17,90 Mill. €","577 Th. €",2011
"43","SC Beira-Mar ","SC Beira-Mar","34","34","23,9","15","16,30 Mill. €","479 Th. €",2011
"44","Uniao de Leiria ","Uniao de Leiria","41","41","22,6","27","15,40 Mill. €","376 Th. €",2011
"45","SC Olhanense ","SC Olhanense","30","30","25,5","15","15,10 Mill. €","503 Th. €",2011
"46","Gil Vicente FC ","Gil Vicente FC","32","32","25,4","17","11,40 Mill. €","356 Th. €",2011
"47","FC Paços de Ferreira ","FC Paços de Ferreira","33","33","24,1","18","11,00 Mill. €","333 Th. €",2011
"48","CD Feirense ","CD Feirense","29","29","23,8","12","10,60 Mill. €","366 Th. €",2011
"49","FC Porto ","FC Porto","30","30","23,9","24","201,45 Mill. €","6,72 Mill. €",2012
"50","SL Benfica ","SL Benfica","32","32","24,8","24","173,60 Mill. €","5,43 Mill. €",2012
"51","Sporting CP ","Sporting CP","39","39","22,4","25","115,85 Mill. €","2,97 Mill. €",2012
"52","SC Braga ","SC Braga","34","34","25,8","20","74,20 Mill. €","2,18 Mill. €",2012
"53","Rio Ave FC ","Rio Ave FC","30","30","23,5","16","23,75 Mill. €","792 Th. €",2012
"54","CD Nacional ","CD Nacional","33","33","22,8","20","20,45 Mill. €","620 Th. €",2012
"55","SC Beira-Mar ","SC Beira-Mar","30","30","24,5","13","20,35 Mill. €","678 Th. €",2012
"56","Estoril Praia  ","Estoril Praia","29","29","24,2","16","20,00 Mill. €","690 Th. €",2012
"57","CS Marítimo ","CS Marítimo","35","35","24,3","24","19,45 Mill. €","556 Th. €",2012
"58","SC Olhanense ","SC Olhanense","36","36","25,2","17","18,48 Mill. €","513 Th. €",2012
"59","Vitória Guimaraes SC ","Vitória Guimaraes SC","36","36","22,4","20","17,30 Mill. €","481 Th. €",2012
"60","Académica Coimbra ","Académica Coimbra","30","30","24,7","19","16,43 Mill. €","548 Th. €",2012
"61","Gil Vicente FC ","Gil Vicente FC","34","34","26,1","19","15,80 Mill. €","465 Th. €",2012
"62","Moreirense FC  ","Moreirense FC","30","30","25,9","17","13,58 Mill. €","453 Th. €",2012
"63","FC Paços de Ferreira ","FC Paços de Ferreira","28","28","25,0","12","13,15 Mill. €","470 Th. €",2012
"64","Vitória Setúbal FC ","Vitória Setúbal FC","28","28","25,9","10","13,00 Mill. €","464 Th. €",2012
"65","SL Benfica ","SL Benfica","28","28","25,1","22","206,60 Mill. €","7,38 Mill. €",2013
"66","FC Porto ","FC Porto","36","36","23,6","27","180,80 Mill. €","5,02 Mill. €",2013
"67","Sporting CP ","Sporting CP","33","33","23,0","21","94,80 Mill. €","2,87 Mill. €",2013
