"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"85","SC Freiburg ","SC Freiburg","34","34","22,9","15","66,63 Mill. €","1,96 Mill. €",2013
"86","1.FC Nuremberg ","1.FC Nuremberg","32","32","23,4","16","48,88 Mill. €","1,53 Mill. €",2013
"87","Hertha BSC  ","Hertha BSC","32","32","25,0","14","45,95 Mill. €","1,44 Mill. €",2013
"88","1.FSV Mainz 05 ","1.FSV Mainz 05","31","31","25,7","16","45,40 Mill. €","1,46 Mill. €",2013
"89","FC Augsburg ","FC Augsburg","34","34","24,1","18","43,50 Mill. €","1,28 Mill. €",2013
"90","Eintracht Braunschweig  ","Eintracht Braunschweig","32","32","25,2","12","29,60 Mill. €","925 Th. €",2013
"91","Bayern Munich ","Bayern Munich","33","33","24,6","17","564,18 Mill. €","17,10 Mill. €",2014
"92","Borussia Dortmund ","Borussia Dortmund","37","37","23,7","17","329,80 Mill. €","8,91 Mill. €",2014
"93","FC Schalke 04 ","FC Schalke 04","36","36","23,0","15","213,38 Mill. €","5,93 Mill. €",2014
"94","VfL Wolfsburg ","VfL Wolfsburg","30","30","24,9","18","176,13 Mill. €","5,87 Mill. €",2014
"95","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","26","26","23,9","14","166,55 Mill. €","6,41 Mill. €",2014
"96","Hamburger SV ","Hamburger SV","38","38","24,2","22","114,95 Mill. €","3,03 Mill. €",2014
"97","Borussia Mönchengladbach ","Borussia Mönchengladbach","27","27","24,9","14","107,33 Mill. €","3,98 Mill. €",2014
"98","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","30","30","23,4","13","100,03 Mill. €","3,33 Mill. €",2014
"99","VfB Stuttgart ","VfB Stuttgart","30","30","23,7","16","97,90 Mill. €","3,26 Mill. €",2014
"100","Hannover 96 ","Hannover 96","35","35","24,6","16","78,05 Mill. €","2,23 Mill. €",2014
"101","1.FSV Mainz 05 ","1.FSV Mainz 05","36","36","23,9","19","76,90 Mill. €","2,14 Mill. €",2014
"102","Hertha BSC ","Hertha BSC","30","30","25,3","16","76,48 Mill. €","2,55 Mill. €",2014
"103","Eintracht Frankfurt ","Eintracht Frankfurt","30","30","24,1","14","73,98 Mill. €","2,47 Mill. €",2014
"104","SV Werder Bremen ","SV Werder Bremen","36","36","22,9","17","58,58 Mill. €","1,63 Mill. €",2014
"105","SC Freiburg ","SC Freiburg","30","30","24,1","13","56,90 Mill. €","1,90 Mill. €",2014
"106","1. FC Köln  ","1. FC Köln","27","27","24,4","14","43,33 Mill. €","1,60 Mill. €",2014
"107","FC Augsburg ","FC Augsburg","35","35","24,6","18","42,43 Mill. €","1,21 Mill. €",2014
"108","SC Paderborn 07  ","SC Paderborn 07","28","28","25,2","8","22,45 Mill. €","802 Th. €",2014
"109","Bayern Munich ","Bayern Munich","34","34","24,9","19","608,50 Mill. €","17,90 Mill. €",2015
"110","Borussia Dortmund ","Borussia Dortmund","30","30","23,9","13","311,60 Mill. €","10,39 Mill. €",2015
"111","VfL Wolfsburg ","VfL Wolfsburg","35","35","24,5","19","265,43 Mill. €","7,58 Mill. €",2015
"112","FC Schalke 04 ","FC Schalke 04","32","32","23,9","14","209,35 Mill. €","6,54 Mill. €",2015
"113","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","33","33","23,2","20","200,75 Mill. €","6,08 Mill. €",2015
"114","Borussia Mönchengladbach ","Borussia Mönchengladbach","29","29","24,4","17","139,55 Mill. €","4,81 Mill. €",2015
"115","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","31","31","23,8","16","111,40 Mill. €","3,59 Mill. €",2015
"116","Eintracht Frankfurt ","Eintracht Frankfurt","35","35","23,9","21","87,50 Mill. €","2,50 Mill. €",2015
"117","VfB Stuttgart ","VfB Stuttgart","34","34","23,8","18","82,60 Mill. €","2,43 Mill. €",2015
"118","Hamburger SV ","Hamburger SV","35","35","24,8","18","74,08 Mill. €","2,12 Mill. €",2015
"119","Hannover 96 ","Hannover 96","39","39","23,5","22","73,58 Mill. €","1,89 Mill. €",2015
"120","Hertha BSC ","Hertha BSC","34","34","24,3","15","72,90 Mill. €","2,14 Mill. €",2015
"121","1.FSV Mainz 05 ","1.FSV Mainz 05","39","39","24,3","22","67,55 Mill. €","1,73 Mill. €",2015
"122","FC Augsburg ","FC Augsburg","39","39","24,9","20","62,50 Mill. €","1,60 Mill. €",2015
"123","SV Werder Bremen ","SV Werder Bremen","39","39","23,6","18","59,50 Mill. €","1,53 Mill. €",2015
"124","1. FC Köln ","1. FC Köln","25","25","24,0","12","52,05 Mill. €","2,08 Mill. €",2015
"125","FC Ingolstadt 04  ","FC Ingolstadt 04","29","29","24,2","15","24,38 Mill. €","841 Th. €",2015
"126","SV Darmstadt 98  ","SV Darmstadt 98","30","30","26,3","9","19,80 Mill. €","660 Th. €",2015
"127","Bayern Munich ","Bayern Munich","33","33","25,1","18","595,40 Mill. €","18,04 Mill. €",2016
"128","Borussia Dortmund ","Borussia Dortmund","31","31","24,2","16","321,05 Mill. €","10,36 Mill. €",2016
"129","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","39","39","22,8","21","244,58 Mill. €","6,27 Mill. €",2016
"130","FC Schalke 04 ","FC Schalke 04","39","39","23,7","22","238,75 Mill. €","6,12 Mill. €",2016
"131","VfL Wolfsburg ","VfL Wolfsburg","43","43","23,5","21","225,35 Mill. €","5,24 Mill. €",2016
"132","Borussia Mönchengladbach ","Borussia Mönchengladbach","33","33","23,4","15","155,80 Mill. €","4,72 Mill. €",2016
"133","Hamburger SV ","Hamburger SV","38","38","23,6","20","94,98 Mill. €","2,50 Mill. €",2016
"134","1.FSV Mainz 05 ","1.FSV Mainz 05","39","39","23,3","22","85,70 Mill. €","2,20 Mill. €",2016
"135","1. FC Köln ","1. FC Köln","30","30","24,4","13","77,40 Mill. €","2,58 Mill. €",2016
"136","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","33","33","23,5","14","76,55 Mill. €","2,32 Mill. €",2016
"137","Hertha BSC ","Hertha BSC","33","33","24,0","14","75,98 Mill. €","2,30 Mill. €",2016
"138","SV Werder Bremen ","SV Werder Bremen","41","41","24,5","20","75,08 Mill. €","1,83 Mill. €",2016
"139","RB Leipzig  ","RB Leipzig","33","33","22,6","17","69,18 Mill. €","2,10 Mill. €",2016
"140","FC Augsburg ","FC Augsburg","37","37","25,3","21","69,00 Mill. €","1,86 Mill. €",2016
